57,21-Aug-14,MC Software for Pharmacy,PV476,2014-15,Pharmacy softwrae,REG/FC/2014-15/089,Computer,,Gofrugal,P,"12,000",MMC,Office,In use
58,5-Mar-15,Photocopier Canon iR3225 (with fright),"PV1397,1447",2014-15,,REG/FC/2014-15/097,Equipments and Machinaries,Canon,iR3225 / DFL02420,P,"70,174",,Office,In use
59,7-Mar-15,Spilit AC & Fridge,PV1413,2014-15,1.5 ton AC + 190 Ltr Fridge,REG/FC/2014-15/098,Equipments and Machinaries,Daikin Ac & LG,Daikin Ac & LG Fridge,P,"60,600",,Pharmacy,In use
60,16-Mar-15,Fans for (Various projects),PV1470,2014-15,11 Fans & 2 earth kits,REG/FC/2014-15/100,Equipments and Machinaries,,Super fans,P,"37,400",,Office,In use
61,23-Mar-15,CCTV Setup (including erection ),PV1525,2014-15,,REG/FC/2014-15/103,Equipments and Machinaries,Hi Focus,8 Cameras & 1 DV,P,"44,985",,Office,In use
62,31-Mar-15,Water Purifier,PV1608,2014-15,,REG/FC/2014-15/106,Equipments and Machinaries,Dolphin,,P,"12,500",,Office,In use
63,31-Mar-15,Tables,PV1601,2014-15,,REG/FC/2014-15/107,Furniture,,,P,"44,000",,Office,In use
64,31-Mar-15,Tables (Misc),PV1622,2014-15,,REG/FC/2014-15/108,Furniture,,,P,850,,Office,In use
65,29-Apr-15,"20 chairs, softboard (20*800)",PV124,2015-16,,REG/FC/2015-16/109,Furniture,,Used 20 chairs,P,"19,000",,Office,In use
66,1-May-15,CCTV system Installation,PV132,2015-16,,REG/FC/2015-16/111,Equipments and Machinaries,,,P,"3,000",,Office,In use
67,7-May-16,MMC Pharmacy & office,2024-17 PV's,2014-17,,REG/FC/2015-16/112,Buildings,,,P,"6,666,170",,Pudhur,In use
68,20-Aug-15,Iron rack for AML books,PV579,2015-16,,REG/FC/2015-16/113,Furniture,,,P,"5,300",,Office,In use
69,28-Aug-15,CCTV Camera (3 Nos),PV 603,2015-16,,REG/FC/2015-16/114,Equipments and Machinaries,,,P,"7,042",,SCV ,In use
70,22-Sep-15,"Plywood, white board and carpentry work","PV687,700",2015-16,,REG/FC/2015-16/115,Furniture,,,P,"32,938",,Office,In use
71,23-Sep-15,"AML Software, barcode scanner & stickers",PV705,2015-16,,REG/FC/2015-16/116,Computer,,,P,"30,135",AML,Office,In use
72,13-Oct-15,Iron racks,PV806,2015-16,,REG/FC/2015-16/117,Furniture,,,P,"3,454",,Office,In use
73,19-Dec-15,Wood For Dinning table,PV10769,2015-16,,REG/FC/2015-16/120,Furniture,,,P,"10,000",,SCV Campus,Condemned
74,26-Dec-15,Sleeping Beds 3nos,PV1102,2015-16,,REG/FC/2015-16/121,Furniture,,,P,"10,600",,Office,In use
75,12-Feb-16,Stove,1318,2015-16,,REG/FC/2015-16/124,Kitchen Utensils,,,P,"13,200",,SCV Campus,In use
76,25-Apr-16,PA System - AML,PV 50,2016-17,PA System for AML,REG/FC/2016-17/129,Equipments and Machinaries,,,,"8,800",,AML,In use
77,3-Jan-17,CCTV system Installation,PV 831,2016-17,Firstwing Exim CCTV Payment,REG/FC/2016-17/145,Equipments and Machinaries,,,,"7,000",,SCV Campus,In use
78,31-Mar-17,CCTV system Installation,FC - PV 1071,2016-17,CCTV Payment,REG/FC/2016-17/147,Equipments and Machinaries,,,,"3,850",,SCV Campus,In use
79,31-Mar-17,CCTV system Installation,FC - PV 1073,2016-17,CCTV Payment,REG/FC/2016-17/148,Equipments and Machinaries,,,,"4,620",,SCV Campus,In use
80,5-Apr-17,Steel Racks,FC - PV 23,2017-18,Steel Racks,REG/FC/2017-18/149,Furniture,,,,"5,900",,AML,In use
81,20-Apr-17,Tata Ace Vehicles,FC - PV 38,2017-18,Tata Ace Vehicles,REG/FC/2017-18/150,Vehicles,,,,"441,213",,AML,In use
82,24-May-17,AML Container Shift,FC - PV 154,2017-18,AML Container Shift,REG/FC/2017-18/158,Vehicles,,,,"28,500",,AML,In use
83,12-Sep-17,Barcode Scanner,FC - PV 615,2017-18,Barcode Scanner - Mobile Library,REG/FC/2017-18/176,Equipments and Machinaries,,,,"7,316",,AML,In use
84,16-Sep-17,UPS Purchase,FC - PV 631,2017-18,UPS Purchase,REG/FC/2017-18/177,Equipments and Machinaries,,,,"10,310",,Pharmacy,In use
85,20-Sep-17,SCV all buildings and fencing,,2012-18,Rain Water Harvesting,REG/FC/2017-18/178,Buildings,,,,"8,863,961",,SCV Campus,In use
86,23-Sep-17,"Solar Panels, Inverters, Battery Bank, Water Heaters and Accessories for SCV & Office",FC - PV 657,2012-18,Inverter Purchase,REG/FC/2017-18/179,Equipments and Machinaries,,,,"1,432,437",,"Pharmacy, SCV Campus",In use
87,4-Nov-17,Fibre Box AML,FC - PV 788,2017-18,Fibre Box AML,REG/FC/2017-18/183,Furniture,,,,"6,000",,AML,In use
88,23-Nov-17,Computer & Software,FC - PV 855,2017-18,Computer & Software,REG/FC/2017-18/184,Computer,,,,"10,000",,AML,In use
89,19-Dec-17,CCTV system Installation,FC - PV 952,2017-18,CCTV Payment,REG/FC/2017-18/185,Equipments and Machinaries,,,,"3,068",,SCV Campus,In use
90,5-Jan-18,Electrical & Plumbing Material,FC - PV 1020,2017-18,Electrical & Plumbing Material,REG/FC/2017-18/186,Equipments and Machinaries,,,,"56,157",,SCV Campus,In use
91,29-Jan-18,GPS Tracker,PV 1065,2017-18,GPS Tracker,REG/FC/2017-18/187,Equipments and Machinaries,,,,"8,750",,Pharmacy,In use
92,29-Jan-18,GPS Tracker,FC - PV 1066,2017-18,GPS Tracker,REG/FC/2017-18/188,Vehicles,,,,"8,750",,AML,In use
93,29-Jan-18,GPS Tracker,FC - PV 1067,2017-18,Izusu GPS Tracker,REG/FC/2017-18/189,Vehicles,,,,"8,750",,SCV Campus,In use
94,2-Feb-18,PA System - SCV,FC - PV 1078,2017-18,PA System - SCV,REG/FC/2017-18/190,Equipments and Machinaries,,,,"17,700",,Naviram,In use
95,25-May-18,Computer & Software,FC - PV 127,2018-19,Computer & Software - Pharmacy management,REG/FC/2018-19/192,Computer,hCue Software,Pharmay Software,,"12,036",,Pharmacy,In use
96,4-Jun-18,New Bolero,"PV 107, 179",2018-19,MMC Bolero Vehicle Purchase,REG/FC/2018-19/193,Vehicles,Bolero,TN25BH,,"365,000",,Pharmacy,In use
97,7-Jun-18,Two Fold Table MMC,FC - PV 197,2018-19,Two Fold Table MMC,REG/FC/2018-19/194,Furniture,,,,"7,400",,Pharmacy,In use
98,12-Dec-18,Doors,FC - PV 1022,2018-19,Doors Fourth House,REG/FC/2018-19/202,Buildings,,,,"6,000",,SCV Campus,In use
99,20-Dec-18,Park Equipments,"PV574, 600, 605, 607, 612,620,659 1062",2018-19,Park Equipments,REG/FC/2018-19/203,Equipments and Machinaries,,,,"47,486",,Park,In use
100,26-Mar-19,Suzuki Access,"FC - PV 1491,93",2018-19,Suzuki Access,REG/FC/2018-19/208,Vehicles,,,,"75,239",,Office,In use
101,30-Mar-19,AES Adaiyur Roofing Works,"PV1526, PV1263,1266,1271,1335,1337,1339,1383 & 17 PV's",2018-19,AES Adaiyur Roofing Works,REG/FC/2018-19/209,Buildings,,,,"124,001",,AES Centers,In use
102,11-Jun-19,AES Paliyapattu Roofing Work,"2018-19PV1301,1336, 1190, 2019-20 PV 237,238",2019-20,AES Paliyapattu Roofing Work,REG/FC/2019-20/211,Buildings,,,,"77,297",,Adaiyur,In use
103,15-Jul-19,Sony DSC Camera,FC - PV 368,2019-20,Sony DSC Camera,REG/FC/2019-20/212,Equipments and Machinaries,Sony,,,"6,099",,AML,In use
104,22-Jul-19,Sony DSC Camera,FC - PV 375,2019-20,2 Cameras Purchase,REG/FC/2019-20/213,Equipments and Machinaries,Sony,,,"13,035",,AML,In use
